,price,floor,bedroomCount,netHabitableSurface,bathroomCount,condition
0,395000,2,3,155,1,5
4,549000,1,3,168,1,5
9,229000,12,3,100,1,3
11,189000,3,1,24,1,3
12,465000,0,3,130,1,5
13,135000,1,2,65,1,0
16,235000,4,2,110,1,4
19,235000,3,2,108,1,2
21,279000,2,2,63,1,4
22,199000,4,2,84,1,4
23,499000,1,2,112,1,5
24,345000,7,2,78,1,5
25,545000,14,3,140,2,5
26,375000,4,2,101,1,5
27,205000,3,2,65,1,3
29,249000,2,0,41,1,5
30,119000,4,1,43,1,0
31,169000,2,1,50,1,4
34,255000,0,2,82,1,5
35,995000,5,3,135,2,5
36,317000,0,1,95,1,3
37,250000,4,2,78,1,4
38,257000,3,1,92,1,5
39,329000,1,2,73,1,4
40,185000,5,1,80,1,3
41,401775,2,2,116,1,4
45,350000,0,3,129,1,4
46,329000,1,4,150,1,4
49,499721,3,3,157,2,4
50,195000,1,2,75,1,4
51,245000,1,2,98,1,4
54,390000,0,3,121,2,5
55,135000,0,1,87,1,0
56,300000,1,2,96,1,4
58,279000,2,2,69,1,4
59,129000,1,2,67,1,3
60,289000,1,2,143,2,4
61,218000,2,1,78,1,5
62,349000,3,2,99,1,4
63,225000,0,2,81,1,5
66,279000,2,3,96,1,4
67,139000,1,1,90,1,4
68,125000,4,1,59,1,2
69,149000,3,1,46,1,4
71,169000,0,1,61,1,4
73,239000,0,1,64,1,5
75,159000,1,1,98,1,3
77,250000,3,2,95,1,4
78,123000,1,1,44,1,4
80,649000,0,2,110,2,3
81,219000,0,1,35,1,3
83,175000,4,1,54,1,2
89,299000,1,1,87,1,3
90,225000,7,1,50,1,4
94,240000,2,3,144,1,0
96,185000,1,1,57,1,3
97,350000,3,2,111,1,4
98,189000,2,1,50,1,4
101,415000,6,2,98,1,3
104,299000,0,3,130,1,5
105,249000,7,2,90,1,4
106,99900,1,1,33,1,4
107,615000,4,3,159,2,4
108,420000,1,1,98,1,4
110,274000,0,2,60,1,5
112,199000,3,2,83,1,5
114,239000,0,2,90,1,4
115,299000,0,3,110,1,5
118,349000,4,1,62,1,5
119,149000,5,1,46,1,5
122,89000,0,0,21,1,3
123,200000,4,1,65,1,4
127,295000,7,2,92,1,4
129,235000,0,1,85,1,0
131,375000,2,3,134,1,5
132,360000,3,3,108,1,0
134,329000,2,2,81,1,5
135,185000,1,2,80,1,3
136,137000,1,0,36,1,0
137,239000,1,2,84,1,4
139,500000,3,2,137,1,2
140,209000,1,2,75,1,4
142,215000,4,3,113,1,3
143,160000,1,2,85,1,4
144,399000,0,3,194,2,0
145,129000,0,1,77,1,4
146,349000,0,3,186,1,5
148,280000,0,2,90,1,4
150,169000,0,1,75,1,5
151,169000,1,1,75,1,5
153,310000,1,2,90,1,5
154,109000,1,1,60,1,0
155,109000,2,1,60,1,4
156,165000,0,0,26,1,4
158,575000,1,3,126,2,5
159,610000,8,2,111,2,5
160,190000,2,0,32,1,5
161,390000,1,3,120,1,5
162,199900,0,2,125,1,2
166,295000,3,2,115,2,2
168,275000,1,1,55,1,4
171,445000,6,2,119,2,4
172,170000,3,1,150,1,4
173,545000,4,2,129,1,5
174,134900,5,1,60,1,4
175,595000,0,3,132,2,5
176,263000,2,3,84,1,4
178,346000,4,2,87,1,4
179,360000,1,2,126,1,5
182,358000,1,2,130,1,2
183,190000,0,2,106,1,4
186,179000,2,2,82,1,4
187,169000,2,2,80,1,0
188,179000,1,2,66,1,4
